booking_id,passenger_id,flight_id,booking_date,seat_class,booking_status
BK00037,PS00581,FL0189,2026-05-03 21:05:00,Economy,Confirmed
BK00038,PS00551,FL0023,2026-07-02 19:57:00,Economy,Confirmed
BK00039,PS00588,FL0151,2026-07-08 09:53:00,Business,Confirmed
BK00040,PS00316,FL0064,2026-06-10 21:28:00,Economy,Confirmed
BK00041,PS00646,FL0184,2026-04-22 17:10:00,Business,Confirmed
BK00042,PS00354,FL0126,2026-05-17 12:14:00,Economy,Confirmed
BK00043,PS00281,FL0164,2026-06-04 01:54:00,Economy,Confirmed
BK00044,PS00046,FL0180,2026-08-15 15:18:00,Economy,Confirmed
BK00045,PS00413,FL0142,2026-05-08 00:45:00,Business,Confirmed
BK00046,PS00073,FL0162,2026-05-02 03:58:00,Business,Confirmed
BK00047,PS00900,FL0176,2026-06-29 00:03:00,Business,Confirmed
BK00048,PS00577,FL0066,2026-08-04 11:58:00,Economy,Confirmed
BK00049,PS00087,FL0082,2026-07-10 08:26:00,Economy,Confirmed
BK00050,PS00046,FL0097,2026-07-20 02:43:00,Economy,Confirmed
BK00051,PS00845,FL0166,2026-06-01 05:16:00,Economy,Confirmed
BK00052,PS00407,FL0034,2026-05-20 08:39:00,Economy,Cancelled
BK00053,PS00048,FL0177,2026-08-24 13:39:00,Premium Economy,Confirmed
BK00054,PS00427,FL0145,2026-05-15 18:47:00,Premium Economy,Confirmed
BK00055,PS00145,FL0124,2026-04-21 10:29:00,Economy,Confirmed
BK00056,PS00831,FL0043,2026-07-02 18:47:00,Economy,Confirmed
BK00057,PS00424,FL0040,2026-07-13 19:26:00,Economy,Confirmed
BK00058,PS00732,FL0090,2026-05-27 15:56:00,Economy,Confirmed
BK00059,PS00180,FL0194,2026-07-06 00:50:00,Economy,Confirmed
BK00060,PS00250,FL0156,2026-06-08 05:36:00,Economy,Confirmed
BK00061,PS00977,FL0099,2026-05-28 07:40:00,Economy,Confirmed
BK00062,PS00534,FL0177,2026-05-02 13:39:00,Economy,Pending
BK00063,PS00720,FL0192,2026-07-17 01:08:00,Economy,Confirmed
BK00064,PS00256,FL0027,2026-06-30 12:01:00,Economy,Confirmed
BK00065,PS00391,FL0110,2026-08-19 23:09:00,Economy,Pending
BK00066,PS00123,FL0142,2026-06-22 00:45:00,Business,Confirmed
BK00067,PS00365,FL0091,2026-07-02 18:42:00,Business,Cancelled
BK00068,PS00807,FL0071,2026-04-29 11:54:00,Economy,Confirmed
BK00069,PS00641,FL0071,2026-07-08 11:54:00,Premium Economy,Confirmed
BK00070,PS00385,FL0030,2026-06-23 02:37:00,First,Confirmed
BK00071,PS00515,FL0030,2026-05-17 02:37:00,Economy,Confirmed
BK00072,PS00506,FL0087,2026-07-31 11:44:00,Economy,Confirmed
BK00073,PS00053,FL0156,2026-07-27 05:36:00,Business,Confirmed
BK00074,PS00726,FL0127,2026-07-05 03:21:00,Economy,Confirmed
BK00075,PS00331,FL0154,2026-07-07 09:17:00,Economy,Confirmed
BK00076,PS00590,FL0178,2026-05-15 05:45:00,Economy,Confirmed
BK00077,PS00303,FL0051,2026-08-02 12:34:00,Economy,Confirmed
BK00078,PS00087,FL0058,2026-06-11 20:24:00,Economy,Confirmed
BK00079,PS00214,FL0192,2026-06-08 01:08:00,First,Confirmed
BK00080,PS00191,FL0189,2026-07-24 21:05:00,Economy,Confirmed
BK00081,PS00623,FL0016,2026-07-13 20:33:00,Economy,Confirmed
BK00082,PS00066,FL0145,2026-04-25 18:47:00,Economy,Confirmed
BK00083,PS00757,FL0199,2026-08-28 15:57:00,Economy,Confirmed
BK00084,PS00433,FL0111,2026-04-22 02:49:00,Economy,Confirmed
BK00085,PS00975,FL0037,2026-06-27 06:58:00,Economy,Confirmed
BK00086,PS00863,FL0081,2026-07-16 22:44:00,Economy,Confirmed
BK00087,PS00012,FL0004,2026-04-27 20:30:00,Economy,Confirmed
BK00088,PS00596,FL0070,2026-04-12 23:15:00,Economy,Pending
BK00089,PS00523,FL0011,2026-05-03 11:29:00,Economy,Confirmed
BK00090,PS00032,FL0099,2026-05-15 07:40:00,Economy,Confirmed
BK00091,PS00657,FL0034,2026-07-06 08:39:00,Economy,Confirmed
BK00092,PS00772,FL0053,2026-06-22 12:43:00,Economy,Confirmed
BK00093,PS00817,FL0073,2026-04-27 18:43:00,Economy,Confirmed
BK00094,PS00439,FL0189,2026-07-29 21:05:00,Business,Confirmed
BK00095,PS00366,FL0147,2026-06-23 11:35:00,Economy,Confirmed
BK00096,PS00413,FL0099,2026-05-06 07:40:00,Business,Confirmed
BK00097,PS00641,FL0065,2026-07-13 09:08:00,Economy,Pending
BK00098,PS00760,FL0056,2026-04-22 08:33:00,Economy,Confirmed
BK00099,PS00581,FL0122,2026-05-09 17:13:00,Economy,Confirmed
BK00100,PS00895,FL0040,2026-06-29 19:26:00,Economy,Confirmed
BK00101,PS00381,FL0105,2026-07-10 17:34:00,Economy,Confirmed
BK00102,PS00956,FL0139,2026-05-07 13:10:00,Economy,Confirmed
BK00103,PS00497,FL0114,2026-05-08 10:17:00,Economy,Confirmed
BK00104,PS00124,FL0161,2026-06-27 02:19:00,Economy,Confirmed
BK00105,PS00876,FL0103,2026-05-13 05:06:00,Economy,Confirmed
BK00106,PS00365,FL0070,2026-04-13 23:15:00,Economy,Cancelled
BK00107,PS00835,FL0018,2026-04-24 12:17:00,Business,Confirmed
BK00108,PS00617,FL0188,2026-07-23 00:35:00,Economy,Cancelled
BK00109,PS00869,FL0112,2026-06-14 07:16:00,Premium Economy,Confirmed
BK00110,PS00465,FL0145,2026-07-29 18:47:00,Economy,Confirmed
BK00111,PS00448,FL0172,2026-08-25 19:34:00,Economy,Cancelled
BK00112,PS00588,FL0081,2026-04-20 22:44:00,Economy,Pending
BK00113,PS00397,FL0035,2026-05-24 06:28:00,Economy,Confirmed
BK00114,PS00410,FL0176,2026-04-28 00:03:00,Economy,Confirmed
BK00115,PS00705,FL0032,2026-06-16 17:00:00,Premium Economy,Confirmed
BK00116,PS00456,FL0095,2026-05-10 21:40:00,Premium Economy,Confirmed
BK00117,PS00534,FL0115,2026-07-01 21:25:00,Economy,Cancelled
BK00118,PS00094,FL0008,2026-07-29 06:29:00,Economy,Confirmed
BK00119,PS00373,FL0168,2026-07-02 22:45:00,Business,Pending
BK00120,PS00146,FL0184,2026-05-10 17:10:00,Business,Confirmed
BK00121,PS00893,FL0079,2026-07-15 06:37:00,First,Confirmed
BK00122,PS00927,FL0056,2026-04-29 08:33:00,Economy,Confirmed
BK00123,PS00125,FL0084,2026-06-10 21:27:00,Business,Confirmed
BK00124,PS00042,FL0106,2026-06-06 05:43:00,Economy,Confirmed
BK00125,PS00989,FL0099,2026-05-06 07:40:00,Premium Economy,Confirmed
BK00126,PS00960,FL0026,2026-06-16 15:06:00,Premium Economy,Confirmed
BK00127,PS00169,FL0045,2026-05-27 16:07:00,Economy,Confirmed
BK00128,PS00896,FL0025,2026-06-22 12:25:00,Economy,Confirmed
BK00129,PS00765,FL0141,2026-06-09 17:46:00,Business,Confirmed
BK00130,PS00946,FL0120,2026-08-05 09:57:00,Economy,Confirmed
BK00131,PS00337,FL0105,2026-07-18 17:34:00,Economy,Confirmed
BK00132,PS00283,FL0196,2026-07-08 12:42:00,Business,Confirmed
BK00133,PS00208,FL0154,2026-04-08 09:17:00,Business,Confirmed
BK00134,PS00263,FL0053,2026-08-03 12:43:00,Business,Confirmed
BK00135,PS00322,FL0184,2026-05-28 17:10:00,Economy,Confirmed
BK00136,PS00141,FL0196,2026-05-09 12:42:00,Business,Cancelled
BK00137,PS00972,FL0015,2026-06-30 09:39:00,Economy,Confirmed
BK00138,PS00576,FL0051,2026-05-20 12:34:00,Economy,Confirmed
BK00139,PS00690,FL0100,2026-05-02 06:30:00,Economy,Confirmed
BK00140,PS00744,FL0200,2026-05-23 20:13:00,Economy,Confirmed
BK00141,PS00677,FL0054,2026-07-20 02:06:00,Economy,Confirmed
BK00142,PS00516,FL0053,2026-06-07 12:43:00,Premium Economy,Confirmed
BK00143,PS00301,FL0043,2026-08-16 18:47:00,Economy,Confirmed
BK00144,PS00566,FL0040,2026-08-16 19:26:00,Economy,Confirmed
BK00145,PS00171,FL0040,2026-06-16 19:26:00,Premium Economy,Confirmed
BK00146,PS00149,FL0018,2026-06-05 12:17:00,Business,Confirmed
BK00147,PS00600,FL0083,2026-07-04 22:15:00,Economy,Confirmed
BK00148,PS00637,FL0030,2026-06-19 02:37:00,Economy,Confirmed
BK00149,PS00731,FL0130,2026-04-25 20:06:00,Economy,Confirmed
BK00150,PS00371,FL0104,2026-07-20 18:18:00,Economy,Confirmed
BK00151,PS00368,FL0056,2026-06-17 08:33:00,Economy,Confirmed
BK00152,PS00024,FL0183,2026-07-12 04:35:00,Economy,Confirmed
BK00153,PS00499,FL0088,2026-05-05 20:23:00,Business,Confirmed
BK00154,PS00669,FL0119,2026-05-31 21:39:00,Economy,Confirmed
BK00155,PS00152,FL0180,2026-05-15 15:18:00,Premium Economy,Pending
BK00156,PS00559,FL0153,2026-06-24 05:35:00,Economy,Confirmed
BK00157,PS00253,FL0148,2026-08-26 07:02:00,Economy,Confirmed
BK00158,PS00140,FL0083,2026-04-12 22:15:00,Economy,Confirmed
BK00159,PS00368,FL0017,2026-05-03 23:37:00,Business,Confirmed
BK00160,PS00750,FL0194,2026-08-21 00:50:00,First,Confirmed
BK00161,PS00161,FL0167,2026-06-22 14:12:00,Economy,Pending
BK00162,PS00789,FL0125,2026-05-14 02:17:00,First,Cancelled
BK00163,PS00221,FL0059,2026-07-20 09:22:00,Economy,Confirmed
BK00164,PS00204,FL0150,2026-07-03 03:32:00,Economy,Pending
BK00165,PS00401,FL0146,2026-07-26 13:26:00,Economy,Confirmed
BK00166,PS00108,FL0149,2026-04-12 16:58:00,Economy,Confirmed
BK00167,PS00647,FL0187,2026-06-12 08:25:00,Economy,Confirmed
BK00168,PS00067,FL0087,2026-07-13 11:44:00,Economy,Confirmed
BK00169,PS00492,FL0138,2026-06-21 23:02:00,Economy,Pending
BK00170,PS00491,FL0032,2026-05-09 17:00:00,Economy,Confirmed
BK00171,PS00045,FL0196,2026-07-25 12:42:00,Economy,Confirmed
BK00172,PS00348,FL0048,2026-07-01 14:03:00,Economy,Confirmed
BK00173,PS00421,FL0165,2026-07-23 21:56:00,First,Confirmed
BK00174,PS00088,FL0008,2026-05-27 06:29:00,First,Confirmed
BK00175,PS00543,FL0133,2026-08-10 20:19:00,Economy,Confirmed
BK00176,PS00398,FL0129,2026-07-17 14:26:00,Economy,Confirmed
BK00177,PS00003,FL0124,2026-04-23 10:29:00,Economy,Confirmed
BK00178,PS00289,FL0111,2026-06-05 02:49:00,Economy,Confirmed
BK00179,PS00400,FL0178,2026-08-17 05:45:00,Economy,Confirmed
BK00180,PS00111,FL0187,2026-05-27 08:25:00,Economy,Confirmed
BK00181,PS00862,FL0143,2026-07-17 11:04:00,Economy,Pending
BK00182,PS00869,FL0008,2026-04-22 06:29:00,Premium Economy,Confirmed
BK00183,PS00131,FL0037,2026-05-19 06:58:00,Business,Pending
BK00184,PS00504,FL0131,2026-04-29 17:22:00,Business,Confirmed
BK00185,PS00372,FL0106,2026-04-19 05:43:00,Business,Confirmed
BK00186,PS00733,FL0090,2026-06-30 15:56:00,Premium Economy,Confirmed
BK00187,PS00620,FL0072,2026-06-05 17:37:00,Economy,Confirmed
BK00188,PS00125,FL0114,2026-05-18 10:17:00,Economy,Confirmed
BK00189,PS00761,FL0045,2026-04-10 16:07:00,Business,Confirmed
BK00190,PS00543,FL0177,2026-06-15 13:39:00,Economy,Confirmed
BK00191,PS00679,FL0196,2026-04-30 12:42:00,Economy,Confirmed
BK00192,PS00683,FL0184,2026-06-15 17:10:00,Economy,Confirmed
BK00193,PS00062,FL0126,2026-05-05 12:14:00,Economy,Confirmed
BK00194,PS00491,FL0053,2026-06-10 12:43:00,Economy,Confirmed
BK00195,PS00722,FL0138,2026-07-10 23:02:00,Premium Economy,Confirmed
BK00196,PS00626,FL0090,2026-08-24 15:56:00,Premium Economy,Confirmed
BK00197,PS00884,FL0190,2026-07-09 03:45:00,Economy,Confirmed
BK00198,PS00093,FL0121,2026-08-10 12:40:00,Economy,Confirmed
BK00199,PS00444,FL0099,2026-07-13 07:40:00,Economy,Confirmed
BK00200,PS00629,FL0127,2026-06-30 03:21:00,Economy,Confirmed
BK00201,PS00677,FL0197,2026-08-18 21:29:00,Economy,Pending
BK00202,PS00793,FL0145,2026-07-18 18:47:00,Economy,Confirmed
BK00203,PS00691,FL0022,2026-07-23 08:35:00,Economy,Confirmed
BK00204,PS00454,FL0198,2026-06-18 04:24:00,Economy,Confirmed
BK00205,PS00428,FL0088,2026-04-30 20:23:00,Business,Confirmed
BK00206,PS00400,FL0196,2026-07-12 12:42:00,Premium Economy,Confirmed
BK00207,PS00798,FL0011,2026-07-10 11:29:00,Economy,Confirmed
BK00208,PS00195,FL0179,2026-06-18 05:24:00,Business,Confirmed
BK00209,PS00117,FL0151,2026-05-27 09:53:00,Economy,Confirmed
BK00210,PS00856,FL0113,2026-07-02 17:52:00,Business,Confirmed
BK00211,PS00619,FL0182,2026-05-04 04:36:00,Economy,Confirmed
BK00212,PS00075,FL0126,2026-05-23 12:14:00,Economy,Confirmed
BK00213,PS00897,FL0064,2026-06-10 21:28:00,Economy,Pending
BK00214,PS00628,FL0067,2026-07-23 07:45:00,Economy,Confirmed
BK00215,PS00842,FL0078,2026-05-08 03:40:00,Economy,Confirmed
BK00216,PS00769,FL0083,2026-07-20 22:15:00,Economy,Confirmed
BK00217,PS00513,FL0129,2026-06-10 14:26:00,Economy,Confirmed
BK00218,PS00717,FL0065,2026-05-14 09:08:00,Economy,Confirmed
BK00219,PS00221,FL0132,2026-04-25 04:23:00,Economy,Confirmed
BK00220,PS00669,FL0051,2026-04-28 12:34:00,Economy,Confirmed
BK00221,PS00423,FL0130,2026-04-19 20:06:00,Economy,Confirmed
BK00222,PS00537,FL0003,2026-08-03 23:49:00,Economy,Confirmed
BK00223,PS00352,FL0119,2026-06-02 21:39:00,Economy,Confirmed
BK00224,PS00131,FL0029,2026-07-31 01:58:00,Economy,Confirmed
BK00225,PS00801,FL0104,2026-05-16 18:18:00,Economy,Pending
BK00226,PS00046,FL0020,2026-08-07 09:31:00,Economy,Confirmed
BK00227,PS00431,FL0076,2026-06-22 04:55:00,Economy,Confirmed
BK00228,PS00110,FL0194,2026-07-11 00:50:00,Business,Confirmed
BK00229,PS00148,FL0093,2026-05-20 04:38:00,Economy,Confirmed
BK00230,PS00516,FL0191,2026-07-25 11:28:00,Business,Confirmed
BK00231,PS00682,FL0014,2026-06-04 20:19:00,Economy,Confirmed
BK00232,PS00046,FL0121,2026-08-28 12:40:00,Economy,Confirmed
BK00233,PS00971,FL0017,2026-07-26 23:37:00,Economy,Confirmed
BK00234,PS00438,FL0035,2026-07-20 06:28:00,Premium Economy,Confirmed
BK00235,PS00214,FL0060,2026-05-02 18:02:00,Economy,Confirmed
BK00236,PS00717,FL0163,2026-07-08 00:58:00,Premium Economy,Confirmed
BK00237,PS00066,FL0106,2026-04-26 05:43:00,Economy,Cancelled
BK00238,PS00306,FL0133,2026-07-28 20:19:00,Premium Economy,Confirmed
BK00239,PS00015,FL0019,2026-05-04 12:37:00,Economy,Confirmed
BK00240,PS00824,FL0179,2026-05-02 05:24:00,Economy,Confirmed
BK00241,PS00372,FL0132,2026-05-11 04:23:00,First,Confirmed
BK00242,PS00559,FL0062,2026-08-04 15:03:00,Economy,Confirmed
BK00243,PS00288,FL0097,2026-06-14 02:43:00,Economy,Confirmed
BK00244,PS00826,FL0173,2026-06-27 08:02:00,Economy,Confirmed
BK00245,PS00010,FL0121,2026-07-07 12:40:00,Economy,Confirmed
BK00246,PS00052,FL0034,2026-08-07 08:39:00,Economy,Confirmed
BK00247,PS00909,FL0114,2026-07-09 10:17:00,Economy,Confirmed
BK00248,PS00358,FL0065,2026-04-21 09:08:00,Business,Pending
BK00249,PS00991,FL0026,2026-06-05 15:06:00,First,Confirmed
BK00250,PS00776,FL0015,2026-07-21 09:39:00,Business,Confirmed
BK00251,PS00060,FL0026,2026-04-11 15:06:00,Economy,Confirmed
BK00252,PS00926,FL0181,2026-04-22 04:53:00,Economy,Confirmed
BK00253,PS00789,FL0096,2026-04-23 08:34:00,Economy,Confirmed
BK00254,PS00626,FL0104,2026-06-04 18:18:00,Economy,Confirmed
BK00255,PS00593,FL0006,2026-06-03 13:15:00,Economy,Pending
BK00256,PS00166,FL0150,2026-06-28 03:32:00,Economy,Confirmed
BK00257,PS00521,FL0084,2026-08-02 21:27:00,Economy,Cancelled
BK00258,PS00331,FL0078,2026-07-07 03:40:00,Premium Economy,Confirmed
BK00259,PS00854,FL0044,2026-04-28 17:08:00,Economy,Confirmed
BK00260,PS00315,FL0063,2026-04-27 14:45:00,Economy,Confirmed
BK00261,PS00011,FL0132,2026-07-27 04:23:00,Economy,Confirmed
BK00262,PS00457,FL0018,2026-07-22 12:17:00,Premium Economy,Confirmed
BK00263,PS00705,FL0052,2026-07-05 12:00:00,Economy,Confirmed
BK00264,PS00103,FL0110,2026-05-29 23:09:00,Economy,Confirmed
BK00265,PS00279,FL0138,2026-07-27 23:02:00,Economy,Confirmed
BK00266,PS00708,FL0095,2026-05-17 21:40:00,Economy,Confirmed
BK00267,PS00723,FL0169,2026-05-14 03:25:00,Business,Pending
BK00268,PS00216,FL0101,2026-04-25 07:59:00,First,Confirmed
BK00269,PS00159,FL0012,2026-06-02 00:34:00,Economy,Confirmed
BK00270,PS00219,FL0015,2026-07-11 09:39:00,Economy,Confirmed
BK00271,PS00081,FL0144,2026-07-03 13:04:00,Economy,Confirmed
BK00272,PS00702,FL0165,2026-07-24 21:56:00,Economy,Confirmed
BK00273,PS00152,FL0148,2026-05-17 07:02:00,Economy,Confirmed
BK00274,PS00143,FL0111,2026-06-11 02:49:00,Economy,Confirmed
BK00275,PS00884,FL0149,2026-04-20 16:58:00,Economy,Pending
BK00276,PS00677,FL0037,2026-06-04 06:58:00,Economy,Confirmed
BK00277,PS00755,FL0112,2026-07-11 07:16:00,Economy,Confirmed
BK00278,PS00499,FL0177,2026-05-08 13:39:00,Economy,Confirmed
BK00279,PS00949,FL0039,2026-07-27 16:07:00,Business,Confirmed
BK00280,PS00592,FL0064,2026-05-12 21:28:00,Economy,Confirmed
BK00281,PS00850,FL0125,2026-08-04 02:17:00,Economy,Confirmed
BK00282,PS00118,FL0050,2026-06-19 20:22:00,Economy,Confirmed
BK00283,PS00921,FL0183,2026-06-09 04:35:00,Economy,Confirmed
BK00284,PS00367,FL0086,2026-05-05 09:13:00,Economy,Confirmed
BK00285,PS00456,FL0113,2026-06-14 17:52:00,Premium Economy,Confirmed
BK00286,PS00501,FL0082,2026-05-07 08:26:00,Economy,Confirmed
BK00287,PS00064,FL0074,2026-05-13 06:58:00,Economy,Confirmed
BK00288,PS00346,FL0131,2026-06-20 17:22:00,Economy,Pending
BK00289,PS00433,FL0145,2026-08-08 18:47:00,Economy,Confirmed
BK00290,PS00939,FL0074,2026-08-09 06:58:00,Premium Economy,Pending
BK00291,PS00711,FL0128,2026-08-03 15:49:00,Economy,Confirmed
BK00292,PS00197,FL0193,2026-08-08 17:24:00,Economy,Confirmed
BK00293,PS00640,FL0153,2026-07-27 05:35:00,Premium Economy,Confirmed
BK00294,PS00438,FL0026,2026-06-13 15:06:00,Economy,Confirmed
BK00295,PS00448,FL0185,2026-06-07 18:30:00,Economy,Confirmed
BK00296,PS00737,FL0113,2026-05-14 17:52:00,Economy,Confirmed
BK00297,PS00289,FL0113,2026-06-30 17:52:00,Economy,Confirmed
BK00298,PS00982,FL0004,2026-07-29 20:30:00,Business,Cancelled
BK00299,PS00431,FL0014,2026-06-03 20:19:00,Economy,Confirmed
BK00300,PS00805,FL0138,2026-08-20 23:02:00,Business,Confirmed
BK00301,PS00171,FL0095,2026-06-01 21:40:00,Economy,Confirmed
BK00302,PS00987,FL0183,2026-07-08 04:35:00,Economy,Confirmed
BK00303,PS00600,FL0023,2026-04-19 19:57:00,Premium Economy,Cancelled
BK00304,PS00800,FL0129,2026-07-04 14:26:00,Economy,Confirmed
BK00305,PS00514,FL0137,2026-05-15 10:49:00,Economy,Confirmed
BK00306,PS00310,FL0167,2026-06-21 14:12:00,Economy,Confirmed
BK00307,PS00671,FL0126,2026-04-21 12:14:00,Business,Confirmed
BK00308,PS00674,FL0062,2026-08-16 15:03:00,Economy,Confirmed
BK00309,PS00333,FL0122,2026-07-24 17:13:00,Economy,Confirmed
BK00310,PS00634,FL0186,2026-08-10 20:37:00,Economy,Confirmed
BK00311,PS00345,FL0167,2026-05-07 14:12:00,Business,Pending
BK00312,PS00009,FL0057,2026-06-11 16:50:00,Economy,Confirmed
BK00313,PS00916,FL0050,2026-06-25 20:22:00,Economy,Confirmed
BK00314,PS00115,FL0198,2026-07-19 04:24:00,Economy,Confirmed
BK00315,PS00046,FL0099,2026-06-04 07:40:00,Business,Confirmed
BK00316,PS00894,FL0112,2026-05-27 07:16:00,First,Confirmed
BK00317,PS00670,FL0166,2026-06-12 05:16:00,Economy,Confirmed
BK00318,PS00862,FL0083,2026-08-04 22:15:00,Economy,Confirmed
BK00319,PS00727,FL0124,2026-06-11 10:29:00,Economy,Confirmed
BK00320,PS00141,FL0071,2026-05-19 11:54:00,Economy,Confirmed
BK00321,PS00265,FL0098,2026-08-20 18:17:00,Economy,Confirmed
BK00322,PS00102,FL0162,2026-08-03 03:58:00,Economy,Confirmed
BK00323,PS00484,FL0131,2026-08-14 17:22:00,Economy,Confirmed
BK00324,PS00497,FL0152,2026-05-06 20:30:00,Economy,Confirmed
BK00325,PS00374,FL0113,2026-05-18 17:52:00,Economy,Confirmed
BK00326,PS00564,FL0020,2026-07-11 09:31:00,Economy,Confirmed
BK00327,PS00371,FL0026,2026-06-07 15:06:00,Economy,Confirmed
BK00328,PS00196,FL0146,2026-04-24 13:26:00,Economy,Confirmed
BK00329,PS00095,FL0144,2026-07-13 13:04:00,Economy,Confirmed
BK00330,PS00277,FL0102,2026-07-01 05:22:00,Economy,Pending
BK00331,PS00384,FL0012,2026-07-30 00:34:00,Business,Confirmed
BK00332,PS00679,FL0075,2026-06-19 02:47:00,Premium Economy,Confirmed
BK00333,PS00761,FL0030,2026-06-18 02:37:00,Economy,Confirmed
BK00334,PS00792,FL0116,2026-07-02 20:26:00,Economy,Confirmed
BK00335,PS00445,FL0076,2026-06-28 04:55:00,Business,Pending
BK00336,PS00139,FL0051,2026-05-11 12:34:00,Business,Confirmed
BK00337,PS00931,FL0158,2026-07-11 12:48:00,Economy,Confirmed
BK00338,PS00028,FL0003,2026-04-27 23:49:00,First,Confirmed
BK00339,PS00232,FL0114,2026-07-16 10:17:00,Economy,Pending
BK00340,PS00421,FL0033,2026-05-02 23:57:00,First,Confirmed
BK00341,PS00835,FL0065,2026-05-20 09:08:00,Economy,Confirmed
BK00342,PS00106,FL0168,2026-06-08 22:45:00,Economy,Confirmed
BK00343,PS00914,FL0009,2026-07-10 09:23:00,Economy,Confirmed
BK00344,PS00854,FL0130,2026-07-03 20:06:00,Premium Economy,Cancelled
BK00345,PS00809,FL0017,2026-05-28 23:37:00,Economy,Confirmed
BK00346,PS00978,FL0003,2026-06-12 23:49:00,First,Confirmed
BK00347,PS00764,FL0010,2026-06-15 08:16:00,Premium Economy,Confirmed
BK00348,PS00159,FL0112,2026-08-03 07:16:00,Economy,Confirmed
BK00349,PS00024,FL0087,2026-08-09 11:44:00,Business,Pending
BK00350,PS00129,FL0167,2026-05-12 14:12:00,First,Confirmed
BK00351,PS00832,FL0187,2026-06-17 08:25:00,Economy,Pending
BK00352,PS00062,FL0038,2026-06-20 19:43:00,Economy,Confirmed
BK00353,PS00906,FL0083,2026-04-21 22:15:00,Economy,Confirmed
BK00354,PS00827,FL0004,2026-08-06 20:30:00,Business,Confirmed
BK00355,PS00071,FL0020,2026-08-20 09:31:00,Economy,Confirmed
BK00356,PS00609,FL0014,2026-07-17 20:19:00,Economy,Pending
BK00357,PS00597,FL0001,2026-06-24 03:57:00,Economy,Pending
BK00358,PS00212,FL0021,2026-05-05 13:15:00,Economy,Confirmed
BK00359,PS00967,FL0136,2026-07-08 23:03:00,Economy,Confirmed
BK00360,PS00274,FL0099,2026-07-05 07:40:00,Economy,Confirmed
BK00361,PS00527,FL0095,2026-07-01 21:40:00,Premium Economy,Confirmed
BK00362,PS00606,FL0008,2026-04-15 06:29:00,Economy,Confirmed
BK00363,PS00028,FL0170,2026-08-01 12:08:00,Business,Confirmed
BK00364,PS00422,FL0055,2026-07-25 13:47:00,Business,Confirmed
BK00365,PS00518,FL0125,2026-07-01 02:17:00,Premium Economy,Confirmed
BK00366,PS00571,FL0195,2026-05-11 03:27:00,Economy,Confirmed
BK00367,PS00208,FL0136,2026-06-11 23:03:00,Economy,Confirmed
BK00368,PS00071,FL0082,2026-07-20 08:26:00,Economy,Pending
