flight_id,flight_number,route_id,aircraft_id,departure_datetime,arrival_datetime,flight_status,terminal,gate_number,delay_minutes
FL0020,SF1020,RT0012,AC0012,2026-08-04 16:35:00,2026-08-04 20:37:00,Departed,T2,C03,0
FL0021,SF1021,RT0096,AC0047,2026-08-10 04:13:00,2026-08-10 05:43:00,Cancelled,T3,A03,0
FL0022,SF1022,RT0041,AC0023,2026-08-20 10:19:00,2026-08-21 06:56:00,Scheduled,T1,B05,0
FL0023,SF1023,RT0080,AC0019,2026-08-02 00:31:00,2026-08-02 06:33:00,Delayed,T3,C02,15
FL0024,SF1024,RT0020,AC0045,2026-08-14 18:53:00,2026-08-14 20:22:00,Cancelled,T2,A01,0
FL0025,SF1025,RT0059,AC0016,2026-08-25 10:45:00,2026-08-25 18:34:00,Scheduled,T1,B05,0
FL0026,SF1026,RT0051,AC0001,2026-08-31 02:15:00,2026-08-31 05:21:00,Cancelled,T1,A02,0
FL0027,SF1027,RT0083,AC0027,2026-08-02 00:46:00,2026-08-02 02:47:00,Scheduled,T1,B02,0
FL0028,SF1028,RT0061,AC0024,2026-08-20 12:23:00,2026-08-20 19:30:00,Boarding,T1,C05,0
FL0029,SF1029,RT0015,AC0025,2026-08-03 06:48:00,2026-08-03 20:10:00,Scheduled,T2,A03,0
FL0030,SF1030,RT0098,AC0005,2026-08-26 18:46:00,2026-08-27 01:01:00,Departed,T2,B05,0
FL0031,SF1031,RT0047,AC0003,2026-08-26 01:00:00,2026-08-26 11:04:00,Departed,T2,A03,0
FL0032,SF1032,RT0003,AC0006,2026-08-10 18:16:00,2026-08-10 22:58:00,Departed,T3,A05,0
FL0033,SF1033,RT0039,AC0022,2026-08-24 10:32:00,2026-08-24 22:00:00,Boarding,T1,C03,0
FL0034,SF1034,RT0007,AC0030,2026-08-07 23:02:00,2026-08-08 09:56:00,Delayed,T3,A03,45
FL0035,SF1035,RT0039,AC0028,2026-08-09 01:43:00,2026-08-09 13:11:00,Scheduled,T2,C05,0
FL0036,SF1036,RT0058,AC0041,2026-08-03 21:06:00,2026-08-03 21:58:00,Scheduled,T3,B01,0
FL0037,SF1037,RT0003,AC0046,2026-08-30 23:35:00,2026-08-31 04:17:00,Scheduled,T2,B02,0
FL0038,SF1038,RT0081,AC0016,2026-08-16 09:26:00,2026-08-17 00:27:00,Delayed,T1,C05,15
FL0039,SF1039,RT0095,AC0024,2026-08-20 19:47:00,2026-08-21 04:28:00,Scheduled,T1,B02,0
FL0040,SF1040,RT0079,AC0039,2026-08-05 11:37:00,2026-08-05 16:03:00,Scheduled,T2,A01,0
FL0041,SF1041,RT0028,AC0018,2026-08-15 17:00:00,2026-08-16 04:44:00,Scheduled,T2,A04,0
FL0042,SF1042,RT0067,AC0045,2026-08-28 05:42:00,2026-08-28 10:35:00,Scheduled,T2,A02,0
FL0043,SF1043,RT0061,AC0023,2026-08-18 14:47:00,2026-08-18 21:54:00,Scheduled,T1,A01,0
FL0044,SF1044,RT0009,AC0039,2026-08-02 05:43:00,2026-08-02 15:01:00,Scheduled,T2,A03,0
FL0045,SF1045,RT0035,AC0022,2026-08-03 17:27:00,2026-08-04 11:09:00,Scheduled,T1,A02,0
FL0046,SF1046,RT0050,AC0043,2026-08-03 15:58:00,2026-08-04 03:33:00,Departed,T3,A04,0
FL0047,SF1047,RT0005,AC0040,2026-08-23 16:58:00,2026-08-24 05:00:00,Scheduled,T2,B05,0
FL0048,SF1048,RT0058,AC0024,2026-08-14 00:26:00,2026-08-14 01:18:00,Delayed,T1,C05,30
FL0049,SF1049,RT0002,AC0001,2026-08-01 10:21:00,2026-08-02 02:15:00,Delayed,T1,A05,45
FL0050,SF1050,RT0049,AC0044,2026-08-01 10:29:00,2026-08-01 19:44:00,Scheduled,T1,C02,0
FL0051,SF1051,RT0030,AC0043,2026-08-30 16:47:00,2026-08-31 14:58:00,Boarding,T1,C04,0
FL0052,SF1052,RT0031,AC0046,2026-08-16 07:47:00,2026-08-17 01:53:00,Scheduled,T1,A04,0
FL0053,SF1053,RT0067,AC0027,2026-08-27 06:15:00,2026-08-27 11:08:00,Boarding,T3,A04,0
FL0054,SF1054,RT0061,AC0020,2026-08-09 20:46:00,2026-08-10 03:53:00,Scheduled,T3,A05,0
FL0055,SF1055,RT0089,AC0021,2026-08-12 18:42:00,2026-08-13 07:30:00,Landed,T3,C05,0
FL0056,SF1056,RT0053,AC0048,2026-08-09 11:06:00,2026-08-09 22:46:00,Scheduled,T2,C04,0
FL0057,SF1057,RT0039,AC0035,2026-08-14 05:25:00,2026-08-14 16:53:00,Landed,T1,C05,0
FL0058,SF1058,RT0030,AC0029,2026-08-19 23:38:00,2026-08-20 21:49:00,Scheduled,T2,A02,0
FL0059,SF1059,RT0024,AC0006,2026-08-27 01:47:00,2026-08-27 16:30:00,Scheduled,T3,A04,0
FL0060,SF1060,RT0076,AC0031,2026-08-29 14:31:00,2026-08-29 22:40:00,Scheduled,T2,B02,0
FL0061,SF1061,RT0090,AC0048,2026-08-23 01:24:00,2026-08-23 14:57:00,Scheduled,T3,A01,0
FL0062,SF1062,RT0023,AC0025,2026-08-28 00:08:00,2026-08-28 17:18:00,Landed,T3,A03,0
FL0063,SF1063,RT0060,AC0034,2026-08-26 05:42:00,2026-08-26 07:40:00,Delayed,T1,C03,15
FL0064,SF1064,RT0054,AC0027,2026-08-10 15:08:00,2026-08-10 19:29:00,Landed,T3,C04,0
FL0065,SF1065,RT0078,AC0006,2026-08-22 21:20:00,2026-08-23 09:35:00,Scheduled,T2,C05,0
FL0066,SF1066,RT0072,AC0007,2026-08-29 09:04:00,2026-08-30 00:57:00,Departed,T3,B05,0
FL0067,SF1067,RT0099,AC0015,2026-08-26 21:15:00,2026-08-27 06:09:00,Boarding,T3,B01,0
FL0068,SF1068,RT0054,AC0034,2026-08-28 16:38:00,2026-08-28 20:59:00,Scheduled,T1,C04,0
FL0069,SF1069,RT0064,AC0049,2026-08-17 15:36:00,2026-08-18 16:03:00,Scheduled,T3,A03,0
FL0070,SF1070,RT0090,AC0029,2026-08-29 17:51:00,2026-08-30 07:24:00,Scheduled,T2,B05,0
FL0071,SF1071,RT0067,AC0006,2026-08-28 03:20:00,2026-08-28 08:13:00,Scheduled,T3,B05,0
FL0072,SF1072,RT0041,AC0006,2026-08-02 07:49:00,2026-08-03 04:26:00,Scheduled,T3,B04,0
FL0073,SF1073,RT0097,AC0026,2026-08-14 13:34:00,2026-08-14 17:36:00,Boarding,T1,A03,0
FL0074,SF1074,RT0067,AC0016,2026-08-13 00:09:00,2026-08-13 05:02:00,Landed,T2,C01,0
FL0075,SF1075,RT0076,AC0032,2026-08-10 01:54:00,2026-08-10 10:03:00,Scheduled,T1,C02,0
FL0076,SF1076,RT0041,AC0022,2026-08-21 12:16:00,2026-08-22 08:53:00,Scheduled,T3,C05,0
FL0077,SF1077,RT0055,AC0025,2026-08-31 02:23:00,2026-09-01 01:03:00,Landed,T2,B03,0
FL0078,SF1078,RT0073,AC0025,2026-08-16 18:16:00,2026-08-17 17:24:00,Delayed,T3,B02,45
FL0079,SF1079,RT0062,AC0010,2026-08-20 22:45:00,2026-08-21 03:57:00,Departed,T3,A04,0
FL0080,SF1080,RT0045,AC0001,2026-08-09 16:23:00,2026-08-10 14:38:00,Departed,T3,C02,0
FL0081,SF1081,RT0093,AC0041,2026-08-19 06:00:00,2026-08-19 08:33:00,Boarding,T1,B02,0
FL0082,SF1082,RT0069,AC0019,2026-08-05 08:12:00,2026-08-05 23:19:00,Scheduled,T2,C05,0
FL0083,SF1083,RT0037,AC0014,2026-08-05 21:52:00,2026-08-06 20:07:00,Landed,T1,C05,0
FL0084,SF1084,RT0038,AC0003,2026-08-12 10:07:00,2026-08-13 08:02:00,Delayed,T1,B04,60
FL0085,SF1085,RT0095,AC0030,2026-08-18 15:48:00,2026-08-19 00:29:00,Scheduled,T1,C01,0
FL0086,SF1086,RT0041,AC0032,2026-08-02 04:03:00,2026-08-03 00:40:00,Scheduled,T1,B02,0
FL0087,SF1087,RT0076,AC0032,2026-08-14 10:18:00,2026-08-14 18:27:00,Boarding,T2,C03,0
FL0088,SF1088,RT0062,AC0037,2026-08-15 19:10:00,2026-08-16 00:22:00,Scheduled,T3,A03,0
FL0089,SF1089,RT0090,AC0007,2026-08-30 04:32:00,2026-08-30 18:05:00,Departed,T3,B01,0
FL0090,SF1090,RT0052,AC0036,2026-08-15 03:25:00,2026-08-15 13:09:00,Delayed,T3,A04,15
FL0091,SF1091,RT0053,AC0036,2026-08-29 02:19:00,2026-08-29 13:59:00,Delayed,T1,C02,15
FL0092,SF1092,RT0028,AC0005,2026-08-02 09:32:00,2026-08-02 21:16:00,Scheduled,T3,B03,0
FL0093,SF1093,RT0017,AC0034,2026-08-29 02:57:00,2026-08-29 22:29:00,Delayed,T3,C01,60
FL0094,SF1094,RT0055,AC0037,2026-08-20 05:17:00,2026-08-21 03:57:00,Delayed,T2,C02,120
FL0095,SF1095,RT0076,AC0018,2026-08-28 08:30:00,2026-08-28 16:39:00,Scheduled,T3,A04,0
FL0096,SF1096,RT0043,AC0032,2026-08-18 05:15:00,2026-08-19 02:54:00,Boarding,T1,A04,0
FL0097,SF1097,RT0009,AC0011,2026-08-25 23:00:00,2026-08-26 08:18:00,Boarding,T1,C04,0
FL0098,SF1098,RT0052,AC0005,2026-08-27 07:39:00,2026-08-27 17:23:00,Scheduled,T1,A02,0
FL0099,SF1099,RT0073,AC0012,2026-08-08 13:16:00,2026-08-09 12:24:00,Scheduled,T3,C02,0
FL0100,SF1100,RT0038,AC0047,2026-08-13 10:58:00,2026-08-14 08:53:00,Scheduled,T1,C02,0
FL0101,SF1101,RT0008,AC0044,2026-08-14 08:42:00,2026-08-15 06:02:00,Scheduled,T2,B05,0
FL0102,SF1102,RT0018,AC0029,2026-08-03 02:21:00,2026-08-03 12:16:00,Scheduled,T3,C02,0
FL0103,SF1103,RT0041,AC0050,2026-08-15 12:46:00,2026-08-16 09:23:00,Scheduled,T2,A04,0
FL0104,SF1104,RT0083,AC0045,2026-08-13 18:53:00,2026-08-13 20:54:00,Delayed,T2,C05,60
FL0105,SF1105,RT0004,AC0028,2026-08-11 07:44:00,2026-08-11 11:03:00,Boarding,T1,B05,0
FL0106,SF1106,RT0080,AC0042,2026-08-07 09:41:00,2026-08-07 15:43:00,Scheduled,T3,A02,0
FL0107,SF1107,RT0069,AC0031,2026-08-06 07:33:00,2026-08-06 22:40:00,Delayed,T3,B03,60
FL0108,SF1108,RT0064,AC0015,2026-08-03 10:18:00,2026-08-04 10:45:00,Boarding,T1,B02,0
FL0109,SF1109,RT0056,AC0022,2026-08-01 08:03:00,2026-08-02 02:42:00,Delayed,T1,C04,30
FL0110,SF1110,RT0053,AC0040,2026-08-05 22:16:00,2026-08-06 09:56:00,Scheduled,T1,C03,0
FL0111,SF1111,RT0069,AC0014,2026-08-28 11:46:00,2026-08-29 02:53:00,Departed,T2,B02,0
FL0112,SF1112,RT0039,AC0006,2026-08-31 08:00:00,2026-08-31 19:28:00,Delayed,T3,C04,120
FL0113,SF1113,RT0023,AC0044,2026-08-21 20:05:00,2026-08-22 13:15:00,Scheduled,T2,A02,0
FL0114,SF1114,RT0019,AC0048,2026-08-06 00:49:00,2026-08-06 04:25:00,Departed,T2,C03,0
FL0115,SF1115,RT0003,AC0044,2026-08-06 11:31:00,2026-08-06 16:13:00,Delayed,T3,C01,120
FL0116,SF1116,RT0047,AC0031,2026-08-25 05:31:00,2026-08-25 15:35:00,Scheduled,T1,C02,0
FL0117,SF1117,RT0065,AC0015,2026-08-15 23:35:00,2026-08-16 16:16:00,Delayed,T1,B01,90
FL0118,SF1118,RT0045,AC0030,2026-08-08 16:34:00,2026-08-09 14:49:00,Departed,T3,B03,0
FL0119,SF1119,RT0086,AC0011,2026-08-17 15:55:00,2026-08-18 15:39:00,Boarding,T2,A05,0
FL0120,SF1120,RT0098,AC0015,2026-08-27 02:49:00,2026-08-27 09:04:00,Scheduled,T1,A01,0
FL0121,SF1121,RT0060,AC0021,2026-08-01 08:09:00,2026-08-01 10:07:00,Boarding,T2,B01,0
FL0122,SF1122,RT0018,AC0049,2026-08-23 18:27:00,2026-08-24 04:22:00,Scheduled,T3,B01,0
FL0123,SF1123,RT0036,AC0022,2026-08-30 09:44:00,2026-08-30 16:25:00,Scheduled,T1,A01,0
FL0124,SF1124,RT0070,AC0004,2026-08-12 01:48:00,2026-08-12 18:02:00,Delayed,T1,B04,15
FL0125,SF1125,RT0083,AC0043,2026-08-29 06:19:00,2026-08-29 08:20:00,Landed,T2,B05,0
FL0126,SF1126,RT0081,AC0049,2026-08-05 03:52:00,2026-08-05 18:53:00,Delayed,T3,C03,90
FL0127,SF1127,RT0070,AC0015,2026-08-14 01:48:00,2026-08-14 18:02:00,Scheduled,T2,B03,0
FL0128,SF1128,RT0054,AC0014,2026-08-12 23:52:00,2026-08-13 04:13:00,Departed,T1,C05,0
FL0129,SF1129,RT0070,AC0001,2026-08-21 09:12:00,2026-08-22 01:26:00,Departed,T1,C05,0
FL0130,SF1130,RT0006,AC0040,2026-08-02 06:18:00,2026-08-02 23:05:00,Scheduled,T3,A03,0
FL0131,SF1131,RT0042,AC0048,2026-08-10 20:38:00,2026-08-11 21:00:00,Scheduled,T2,B03,0
FL0132,SF1132,RT0060,AC0019,2026-08-17 12:13:00,2026-08-17 14:11:00,Scheduled,T3,A01,0
FL0133,SF1133,RT0028,AC0038,2026-08-26 03:36:00,2026-08-26 15:20:00,Scheduled,T2,A03,0
FL0134,SF1134,RT0097,AC0025,2026-08-08 00:23:00,2026-08-08 04:25:00,Departed,T3,A04,0
FL0135,SF1135,RT0050,AC0039,2026-08-23 16:52:00,2026-08-24 04:27:00,Landed,T3,B03,0
FL0136,SF1136,RT0097,AC0034,2026-08-10 12:02:00,2026-08-10 16:04:00,Scheduled,T2,B02,0
FL0137,SF1137,RT0066,AC0012,2026-08-14 09:04:00,2026-08-14 22:41:00,Departed,T3,C02,0
FL0138,SF1138,RT0099,AC0012,2026-08-06 03:03:00,2026-08-06 11:57:00,Scheduled,T1,B03,0
FL0139,SF1139,RT0076,AC0030,2026-08-18 17:13:00,2026-08-19 01:22:00,Landed,T3,B03,0
FL0140,SF1140,RT0010,AC0011,2026-08-20 10:58:00,2026-08-20 13:11:00,Boarding,T2,B03,0
FL0141,SF1141,RT0010,AC0035,2026-08-26 23:15:00,2026-08-27 01:28:00,Scheduled,T3,C04,0
FL0142,SF1142,RT0086,AC0044,2026-08-16 19:38:00,2026-08-17 19:22:00,Scheduled,T2,A01,0
FL0143,SF1143,RT0069,AC0018,2026-08-29 12:44:00,2026-08-30 03:51:00,Scheduled,T1,A05,0
FL0144,SF1144,RT0083,AC0032,2026-08-04 17:49:00,2026-08-04 19:50:00,Delayed,T1,A03,90
FL0145,SF1145,RT0085,AC0035,2026-08-24 18:45:00,2026-08-24 23:32:00,Departed,T3,B05,0
FL0146,SF1146,RT0047,AC0005,2026-08-17 21:49:00,2026-08-18 07:53:00,Scheduled,T2,C01,0
FL0147,SF1147,RT0047,AC0047,2026-08-01 13:58:00,2026-08-02 00:02:00,Delayed,T3,B03,30
FL0148,SF1148,RT0052,AC0049,2026-08-24 18:29:00,2026-08-25 04:13:00,Scheduled,T2,C04,0
FL0149,SF1149,RT0077,AC0022,2026-08-24 11:24:00,2026-08-24 19:24:00,Boarding,T2,A03,0
FL0150,SF1150,RT0093,AC0028,2026-08-19 13:53:00,2026-08-19 16:26:00,Scheduled,T3,C01,0
FL0151,SF1151,RT0055,AC0004,2026-08-18 17:10:00,2026-08-19 15:50:00,Scheduled,T1,A05,0
FL0152,SF1152,RT0022,AC0039,2026-08-25 23:24:00,2026-08-26 22:12:00,Boarding,T1,B05,0
FL0153,SF1153,RT0020,AC0019,2026-08-16 04:26:00,2026-08-16 05:55:00,Departed,T3,B05,0
FL0154,SF1154,RT0069,AC0037,2026-08-14 22:22:00,2026-08-15 13:29:00,Delayed,T3,B03,30
FL0155,SF1155,RT0003,AC0011,2026-08-06 10:18:00,2026-08-06 15:00:00,Scheduled,T1,A03,0
FL0156,SF1156,RT0083,AC0001,2026-08-03 01:06:00,2026-08-03 03:07:00,Departed,T1,A04,0
FL0157,SF1157,RT0055,AC0041,2026-08-20 18:05:00,2026-08-21 16:45:00,Boarding,T3,B04,0
FL0158,SF1158,RT0069,AC0023,2026-08-16 11:21:00,2026-08-17 02:28:00,Scheduled,T1,B03,0
FL0159,SF1159,RT0060,AC0049,2026-08-03 02:15:00,2026-08-03 04:13:00,Scheduled,T3,C04,0
FL0160,SF1160,RT0048,AC0003,2026-08-13 13:54:00,2026-08-13 14:50:00,Scheduled,T3,B01,0
FL0161,SF1161,RT0030,AC0008,2026-08-11 04:37:00,2026-08-12 02:48:00,Scheduled,T1,B01,0
FL0162,SF1162,RT0005,AC0031,2026-08-30 22:40:00,2026-08-31 10:42:00,Boarding,T1,B04,0
FL0163,SF1163,RT0065,AC0019,2026-08-23 03:58:00,2026-08-23 20:39:00,Scheduled,T3,A04,0
FL0164,SF1164,RT0021,AC0036,2026-08-10 18:54:00,2026-08-11 06:20:00,Departed,T3,C01,0
FL0165,SF1165,RT0061,AC0031,2026-08-25 06:44:00,2026-08-25 13:51:00,Landed,T3,A02,0
FL0166,SF1166,RT0093,AC0043,2026-08-25 18:34:00,2026-08-25 21:07:00,Landed,T2,A03,0
FL0167,SF1167,RT0010,AC0021,2026-08-26 17:26:00,2026-08-26 19:39:00,Scheduled,T1,C04,0
FL0168,SF1168,RT0089,AC0014,2026-08-23 21:37:00,2026-08-24 10:25:00,Scheduled,T1,B05,0
FL0169,SF1169,RT0005,AC0004,2026-08-26 06:35:00,2026-08-26 18:37:00,Scheduled,T1,C03,0
FL0170,SF1170,RT0018,AC0025,2026-08-21 00:54:00,2026-08-21 10:49:00,Delayed,T2,C05,45
FL0171,SF1171,RT0098,AC0017,2026-08-30 09:27:00,2026-08-30 15:42:00,Landed,T3,B04,0
FL0172,SF1172,RT0044,AC0028,2026-08-18 16:58:00,2026-08-19 03:59:00,Scheduled,T1,B03,0
FL0173,SF1173,RT0045,AC0046,2026-08-19 09:03:00,2026-08-20 07:18:00,Scheduled,T1,C05,0
FL0174,SF1174,RT0091,AC0034,2026-08-30 11:00:00,2026-08-30 16:36:00,Boarding,T3,A02,0
FL0175,SF1175,RT0081,AC0008,2026-08-14 16:43:00,2026-08-15 07:44:00,Scheduled,T2,A05,0
FL0176,SF1176,RT0086,AC0019,2026-08-18 21:26:00,2026-08-19 21:10:00,Landed,T2,B01,0
FL0177,SF1177,RT0066,AC0004,2026-08-02 10:29:00,2026-08-03 00:06:00,Landed,T2,C02,0
FL0178,SF1178,RT0087,AC0034,2026-08-04 18:03:00,2026-08-05 15:26:00,Departed,T3,A03,0
FL0179,SF1179,RT0038,AC0007,2026-08-17 12:59:00,2026-08-18 10:54:00,Departed,T1,A04,0
FL0180,SF1180,RT0074,AC0040,2026-08-19 12:36:00,2026-08-19 23:11:00,Scheduled,T1,A05,0
FL0181,SF1181,RT0068,AC0044,2026-08-13 21:55:00,2026-08-14 09:10:00,Delayed,T3,A01,30
FL0182,SF1182,RT0091,AC0036,2026-08-22 07:06:00,2026-08-22 12:42:00,Scheduled,T2,C05,0
FL0183,SF1183,RT0087,AC0017,2026-08-18 07:39:00,2026-08-19 05:02:00,Departed,T2,B05,0
FL0184,SF1184,RT0056,AC0027,2026-08-17 14:40:00,2026-08-18 09:19:00,Scheduled,T2,A01,0
FL0185,SF1185,RT0044,AC0020,2026-08-14 17:40:00,2026-08-15 04:41:00,Scheduled,T1,A02,0
FL0186,SF1186,RT0062,AC0007,2026-08-15 09:49:00,2026-08-15 15:01:00,Scheduled,T2,C03,0
FL0187,SF1187,RT0076,AC0018,2026-08-28 21:35:00,2026-08-29 05:44:00,Departed,T3,B02,0
FL0188,SF1188,RT0008,AC0042,2026-08-03 17:33:00,2026-08-04 14:53:00,Departed,T2,A05,0
FL0189,SF1189,RT0022,AC0024,2026-08-16 08:54:00,2026-08-17 07:42:00,Landed,T2,C04,0
FL0190,SF1190,RT0003,AC0005,2026-08-09 15:28:00,2026-08-09 20:10:00,Delayed,T2,B04,45
FL0191,SF1191,RT0025,AC0006,2026-08-12 22:25:00,2026-08-13 20:57:00,Departed,T1,B05,0
FL0192,SF1192,RT0010,AC0046,2026-08-30 15:06:00,2026-08-30 17:19:00,Delayed,T1,C03,90
FL0193,SF1193,RT0073,AC0034,2026-08-18 10:55:00,2026-08-19 10:03:00,Scheduled,T1,B04,0
FL0194,SF1194,RT0018,AC0028,2026-08-12 17:39:00,2026-08-13 03:34:00,Scheduled,T3,A02,0
FL0195,SF1195,RT0025,AC0044,2026-08-05 04:51:00,2026-08-06 03:23:00,Scheduled,T1,A02,0
FL0196,SF1196,RT0071,AC0033,2026-08-27 21:44:00,2026-08-28 15:30:00,Delayed,T1,B01,45
FL0197,SF1197,RT0083,AC0034,2026-08-06 07:52:00,2026-08-06 09:53:00,Scheduled,T2,C01,0
FL0198,SF1198,RT0001,AC0038,2026-08-05 06:54:00,2026-08-05 18:27:00,Delayed,T2,B04,15
FL0199,SF1199,RT0037,AC0045,2026-08-06 06:03:00,2026-08-07 04:18:00,Landed,T3,B02,0
FL0200,SF1200,RT0042,AC0034,2026-08-04 01:17:00,2026-08-05 01:39:00,Landed,T2,C04,0
